,id,Gemma2-instruct_A_vote,Gemma2-instruct_A_for_prob,Gemma2-instruct_A_against_prob,Gemma2-instruct_H_vote,Gemma2-instruct_H_for_prob,Gemma2-instruct_H_against_prob,Gemma2-instruct_Sp_vote,Gemma2-instruct_Sp_for_prob,Gemma2-instruct_Sp_against_prob,Gemma2-instruct_FrP_vote,Gemma2-instruct_FrP_for_prob,Gemma2-instruct_FrP_against_prob,Gemma2-instruct_KrF_vote,Gemma2-instruct_KrF_for_prob,Gemma2-instruct_KrF_against_prob,Gemma2-instruct_MDG_vote,Gemma2-instruct_MDG_for_prob,Gemma2-instruct_MDG_against_prob,Gemma2-instruct_SV_vote,Gemma2-instruct_SV_for_prob,Gemma2-instruct_SV_against_prob,Gemma2-instruct_V_vote,Gemma2-instruct_V_for_prob,Gemma2-instruct_V_against_prob,Gemma2-instruct_R_vote,Gemma2-instruct_R_for_prob,Gemma2-instruct_R_against_prob
0,1143124,for,0.9891765670618042,0.0033710573334246,for,0.9821399333886802,0.007248742505908,for,0.9837119267322124,0.0068210195749998,for,0.9710143879055976,0.0144672328606247,for,0.988242708845064,0.0039335866458714,for,0.9903354272246361,0.002952625509351492,for,0.9861655465792865,0.005283808335661888,for,0.9744936979841441,0.01184725109487772,for,0.9912329590879381,0.002866748720407486
1,1143313,for,0.9951423618476838,0.0006575094885192,for,0.9913599654100836,0.0022671313490718,for,0.9932726470287888,0.0013882972998544,for,0.9865449622739106,0.0049617779441177,for,0.9930609872099012,0.0014206467894837,for,0.9950963871087879,0.0008046803995966911,for,0.9942219334188849,0.0009773144265636802,for,0.9897268747445196,0.0029029627330601215,for,0.9966276152990758,0.0006136181764304638
2,1143416,for,0.9883887195028364,0.0076489360071718,for,0.9864564675372094,0.0100147142657078,for,0.9900367739610374,0.0066537987440824,for,0.9880108356010168,0.0080059487372636,for,0.9940001051872968,0.0033601999748498,for,0.9909777769353241,0.006334995181532577,for,0.9854470265563577,0.010775706905405968,for,0.9855492543429136,0.010332257486879826,for,0.9889255460584536,0.007624939433299005
3,1143517,for,0.9965142623987048,0.0005944220465607,for,0.991981179220602,0.0034308733884245,for,0.9958894483279436,0.0009641788201406,for,0.9884840231388808,0.0053268820047378,for,0.9967629334423692,0.0005901305703446,for,0.9968791462015361,0.0005328385159373283,for,0.9946972553152591,0.001065181102603674,for,0.9929551279637963,0.0025714768562465906,for,0.9978917908156291,0.00037579270428977907
4,1143522,for,0.9907346984837204,0.0031175087206065,for,0.9838855997659266,0.0086097391322255,for,0.9886081819422544,0.0048524849116802,for,0.9571857182309031,0.0305893211625516,for,0.9908551210537552,0.0032909277360886,for,0.9948694515042007,0.0012347938027232885,for,0.9881646921858191,0.004517522174865007,for,0.9850585865788162,0.007025785744190216,for,0.9927177785430104,0.002490469953045249
5,1143618,for,0.978847423568368,0.0058222990483045,for,0.9627791102975608,0.0149520961567759,for,0.9728856403380632,0.0098044108599424,for,0.9012991599738598,0.0558582786470651,for,0.9703187383711338,0.0096088787540793,for,0.988424627110362,0.0025200974196195602,for,0.9508446548134089,0.020160483196377754,for,0.967180535197258,0.012060062028467655,for,0.9796948134899139,0.0067920926958322525
6,1143719,for,0.9984018793329597,0.0,for,0.9981584444176406,0.0001445979723939,for,0.9985746347811072,0.0,for,0.996686504688114,0.0004610450705513,for,0.9988619517534972,0.0,for,0.9989464830141515,0.0,for,0.9982546432875097,0.0,for,0.9982020640745759,0.0,for,0.9986310771200806,0.0
7,1143820,for,0.9800368745345622,0.0089997462928295,for,0.96169504057616,0.023980576545,for,0.9754425997380168,0.0126253394410014,for,0.9349953895434736,0.0502437294926494,for,0.980337501037866,0.0091354278847575,for,0.9699693052098155,0.01686890423297882,for,0.9743380500003695,0.01201663538813591,for,0.9558104583993554,0.02531617134809494,for,0.9712940424215049,0.014925036579370499
8,1143921,mot,0.1710388511419296,0.7217925526201725,mot,0.3336856365203857,0.5875930562615395,mot,0.2782272100448608,0.6248219236731529,mot,0.1358149945735931,0.759920209646225,mot,0.1204846128821373,0.7911060154438019,mot,0.0,0.9983240168076009,mot,0.007602541241794825,0.9592825174331665,mot,0.2860691249370575,0.6238509900867939,mot,0.0,0.9956491589546204
9,114465,for,0.9332363777793944,0.0550146447494626,for,0.8247437528334558,0.1640805704519152,for,0.8988831050228328,0.0907852109521627,for,0.5929450802505016,0.39431275986135,for,0.940429429989308,0.049708773382008,for,0.9833778846077621,0.008878457359969616,for,0.922127278521657,0.06475664163008332,for,0.8264197278767824,0.1621984140947461,for,0.9536976546514779,0.037324561504647136
10,114474,for,0.9585787325631828,0.0313798838760703,for,0.904508479172364,0.085042203310877,for,0.9641046763863416,0.027721427148208,for,0.8557729192543775,0.1328515112400055,for,0.9388435021974146,0.0506136904004961,for,0.9672159883193672,0.02351388323586434,for,0.9388980255462229,0.04909895174205303,for,0.9219338661059737,0.06668200087733567,for,0.9585729516111314,0.03359522286336869
11,114481,for,0.9945492506958544,0.0011334021110087,for,0.9800628935918212,0.0101669458672404,for,0.9924210011959076,0.0025467062368988,for,0.9687055167742074,0.0187436416745185,for,0.989270096179098,0.0037776792887598,for,0.9894244875758886,0.003570397151634097,for,0.9872370436787605,0.004470339976251125,for,0.980255373287946,0.00968971662223339,for,0.990471847821027,0.003815810428932309
12,114482,for,0.9943860340863466,0.0007628555758856,for,0.9942019833251834,0.0012769530294463,for,0.9935306990519166,0.001223858911544,for,0.9883831311017276,0.0036174936685711,for,0.9940594043582678,0.0008693604613654,for,0.9949575606733561,0.0007219453691504896,for,0.9916690532118082,0.0014720914186909795,for,0.9930430538952351,0.0013419449096545577,for,0.9947688514366746,0.0008855059859342873
13,114483,for,0.9956191517412664,0.0005987148615531,for,0.9909915004391224,0.0030972256790846,for,0.9952961471863092,0.0009631560533307,for,0.984421307221055,0.0063052140176296,for,0.992767810355872,0.0018663399387151,for,0.9978966715279967,0.00018569122767075896,for,0.9760076822713017,0.009993251413106918,for,0.9903771828394383,0.0031907258089631796,for,0.9918418969027698,0.0028666299767792225
14,114613,for,0.9903059210628272,0.0,for,0.9849511850625275,0.0027748611755669,for,0.9904728531837464,0.0013590155867859,for,0.9760421016253532,0.0047430666163563,for,0.9941568160429596,0.0005392414168454,for,0.9945769822224975,0.00038817001041024923,for,0.9921707389876246,0.0007577028009109199,for,0.9865420679561794,0.0029089064337313175,for,0.9945952440612018,0.0005647728685289621
15,114622,for,0.9913214365951716,0.0023871904704719,for,0.9351006606593728,0.0458381683565676,for,0.9874014020897448,0.004951324313879,for,0.8890749085694551,0.0887685446068644,for,0.9823649395257236,0.007693501189351,for,0.9943554373458028,0.0012521500466391444,for,0.9857242908328772,0.004892738536000252,for,0.9378058221191168,0.04150583758018911,for,0.989715666975826,0.0029660938307642937
16,114631,for,0.8222182829049416,0.1740244049578905,mot,0.0817480161786079,0.9144254371640272,for,0.5556551188929006,0.4400785928592086,mot,0.0792588517069816,0.9168022678350098,for,0.5278333983733319,0.4677590574719943,for,0.8400735282921232,0.15668939775787294,for,0.8854206367395818,0.110662896418944,mot,0.3093893527984619,0.6856223623035476,for,0.6728493388509378,0.3234284692443907
17,114640,for,0.9980672341771424,0.0,for,0.9968381663784384,0.0006612855941057,for,0.9981657721509692,0.0002251625264761,for,0.9958011005073786,0.0008070989861153,for,0.9986827249958878,0.0,for,0.9989549693855224,0.0,for,0.9979646166029852,0.0,for,0.9966289093717933,0.0007244509761221707,for,0.9985311254422413,0.00018271540466230363
18,114722,for,0.995387990027666,0.0012967379298061,for,0.9937781731132418,0.0029620616696774,for,0.9942464213818312,0.0024564240593463,for,0.994443723699078,0.0022889620158821,for,0.9948646184056996,0.0017434591427445,for,0.9954496622085571,0.0013687898172065616,for,0.9936619463842362,0.002067085588350892,for,0.990888234693557,0.004293296951800585,for,0.9941635134164244,0.0016622907714918256
19,114733,for,0.9929334598127753,0.0020201385486871,for,0.9886795862112194,0.0055966568179428,for,0.992415833985433,0.003200325416401,for,0.991167647531256,0.0040393299423158,for,0.9929086763877422,0.0026550297625362,for,0.9942540805786848,0.0019597073551267385,for,0.9898655836004764,0.003972155973315239,for,0.9853891364764422,0.006832091603428125,for,0.9900666465982795,0.0031932946294546127
20,114741,for,0.9990200823085617,0.0,for,0.998413778055692,0.0001297529379371,for,0.9987234981526854,0.0,for,0.99768511246657,0.0002290230477228,for,0.998852367789368,0.0,for,0.9990403684787452,0.0,for,0.998297303536674,0.0,for,0.9981850165058859,0.0,for,0.9989898678904865,0.0
21,114750,for,0.9991704073327128,0.0,for,0.9991491163382308,0.0,for,0.9991986903914948,0.0,for,0.998819770931732,0.0,for,0.9992694887332618,0.0,for,0.9992836688179523,0.0,for,0.9989549966703635,0.0,for,0.9990860808175057,0.0,for,0.9993152615788858,0.0
22,114805,for,0.9870286099612712,0.0054590157233178,for,0.9873736060690136,0.0063348868861794,for,0.988273015478626,0.0053376769647002,for,0.9827879031654448,0.0099129155278205,for,0.9708327585831285,0.0191958384821191,for,0.9833679054863751,0.008221074938774109,for,0.9497651751153171,0.037229538429528475,for,0.9804094543214887,0.010859150439500809,for,0.977355710696429,0.015093167079612613
23,114806,for,0.9957972259726376,0.0009130119578912,for,0.9901769431307912,0.0046818158589303,for,0.9941700168419628,0.0018992136465385,for,0.9819987395312636,0.0098953759297728,for,0.9960356194060296,0.0010678640101104,for,0.997285489924252,0.00051691266708076,for,0.9934861096553504,0.00200373912230134,for,0.989650645526126,0.004674145020544529,for,0.9957334841601551,0.0011360603384673595
24,114807,for,0.9987008750904351,0.0,for,0.9986401576607022,0.0,for,0.9988006258645328,0.0,for,0.9982271003245842,0.0,for,0.9990436603693524,0.0,for,0.9988949720282108,0.0,for,0.998509200537228,0.0,for,0.9983783196803415,0.0,for,0.9987132702226518,0.0
25,114808,for,0.9934470932930708,0.0020945954602211,for,0.9709681840613484,0.0197900235652923,for,0.9912231983616948,0.0037513577844947,for,0.9735290808603168,0.0155459577217698,for,0.983445517718792,0.0070885270833969,for,0.99004892911762,0.004014966543763876,for,0.9868235103785992,0.005248092580586672,for,0.9826480271294713,0.009104516357183456,for,0.9922682284377515,0.0034258398227393627
