,id,Falcon3-instruct_A_vote,Falcon3-instruct_A_for_prob,Falcon3-instruct_A_against_prob,Falcon3-instruct_H_vote,Falcon3-instruct_H_for_prob,Falcon3-instruct_H_against_prob,Falcon3-instruct_Sp_vote,Falcon3-instruct_Sp_for_prob,Falcon3-instruct_Sp_against_prob,Falcon3-instruct_FrP_vote,Falcon3-instruct_FrP_for_prob,Falcon3-instruct_FrP_against_prob,Falcon3-instruct_KrF_vote,Falcon3-instruct_KrF_for_prob,Falcon3-instruct_KrF_against_prob,Falcon3-instruct_MDG_vote,Falcon3-instruct_MDG_for_prob,Falcon3-instruct_MDG_against_prob,Falcon3-instruct_SV_vote,Falcon3-instruct_SV_for_prob,Falcon3-instruct_SV_against_prob,Falcon3-instruct_V_vote,Falcon3-instruct_V_for_prob,Falcon3-instruct_V_against_prob,Falcon3-instruct_R_vote,Falcon3-instruct_R_for_prob,Falcon3-instruct_R_against_prob
0,1143124,for,0.6329957181587815,0.35914545273408294,mot,0.30696291103959084,0.6866243341937661,mot,0.45913346484303474,0.5286684213206172,mot,0.42710740119218826,0.5644650147296488,for,0.5923839434981346,0.3986459942534566,mot,0.4525711117312312,0.5377838369458914,for,0.6459422186017036,0.3452559243887663,mot,0.35507968720048666,0.6360510285012424,mot,0.2719371556304395,0.7206346613820642
1,1143313,for,0.6173069961369038,0.37199430726468563,mot,0.2978147454559803,0.6940086372196674,for,0.5284979790449142,0.45871314965188503,mot,0.4451023833826184,0.5436699804849923,for,0.5764658050611615,0.4133594762533903,mot,0.44670496322214603,0.5425591766834259,mot,0.47373608499765396,0.5148435086011887,mot,0.34156657196581364,0.6476713828742504,mot,0.25953543931245804,0.7304963916540146
2,1143416,mot,0.25176181085407734,0.738430792465806,mot,0.1413222230039537,0.8517394186928868,mot,0.23052061395719647,0.7586012799292803,mot,0.2208951492793858,0.7701190318912268,mot,0.2915836153551936,0.6987425740808249,mot,0.18347001820802689,0.8074975647032261,mot,0.2701803306117654,0.7194186896085739,mot,0.20419634226709604,0.7862991066649556,mot,0.15529996389523149,0.836583704687655
3,1143517,for,0.6572506399825215,0.33392904605716467,mot,0.3274347633123398,0.6649232329800725,for,0.5248935390263796,0.4616130022332072,mot,0.5011675376445055,0.487950935959816,for,0.6172390896826982,0.37299658730626106,mot,0.49631650000810623,0.4917104132473469,for,0.5886348048225045,0.39978559873998165,mot,0.41535746678709984,0.5739577747881413,mot,0.34097789973020554,0.6505712131038308
4,1143522,for,0.6689875945448875,0.3223859155550599,mot,0.37512686010450125,0.6182722919620574,for,0.563251793384552,0.42358096316456795,for,0.5684866886585951,0.42247523879632354,for,0.6710711354389787,0.32048894092440605,mot,0.5176388528198004,0.4719938039779663,for,0.6536512142047286,0.33676506765186787,mot,0.4758295826613903,0.5155371651053429,mot,0.2702877055853605,0.7214851826429367
5,1143618,for,0.835023561026901,0.15899967774748802,mot,0.5090897306799889,0.4833494368940592,for,0.7407311331480742,0.2500663632526994,for,0.6333240894600749,0.35841703973710537,for,0.8163155149668455,0.17807724699378014,for,0.7145733705256134,0.2786828838288784,for,0.7497944480273873,0.24394027888774872,for,0.5490110702812672,0.441499313339591,mot,0.29685578867793083,0.6949694771319628
6,1143719,for,0.7043861830607057,0.2875944096595049,mot,0.4253755994141102,0.5674087200313807,for,0.6223434805870056,0.36646896973252296,for,0.6042487975209951,0.3868340067565441,for,0.6962435012683272,0.29642649088054895,mot,0.5414708573371172,0.44866564497351646,for,0.6023902418091893,0.38926283828914165,mot,0.4979047402739525,0.4917652439326048,mot,0.300995409488678,0.6903953962028027
7,1143820,for,0.6730847414582968,0.31885217875242233,mot,0.39924351405352354,0.5946464287117124,for,0.6170864198356867,0.3735468334052712,mot,0.4704258549027145,0.5206604362465441,for,0.5769581748172641,0.41407842794433236,for,0.5243090912699699,0.46641738107427955,for,0.5559820327907801,0.43495087418705225,for,0.5204255804419518,0.46988457487896085,for,0.603967010974884,0.3882594355382025
8,1143921,for,0.6577562261372805,0.33540657348930836,mot,0.3496983489021659,0.6446466469205916,for,0.5994868902489543,0.39185993862338364,mot,0.47494695242494345,0.5170295871794224,for,0.6704359231516719,0.3226170679554343,mot,0.4084437172859907,0.5820222496986389,for,0.6046799500472844,0.3861302398145199,mot,0.3727166159078479,0.6196188381873071,mot,0.24959537014365196,0.7413791362196207
9,114465,mot,0.46290086582303047,0.5184752345085144,mot,0.26964587066322565,0.7113807797431946,mot,0.4213658915832639,0.5500472784042358,mot,0.3640565099194646,0.6144174337387085,for,0.5316793480888009,0.44381919503211975,mot,0.5017861155793071,0.48380610905587673,mot,0.474737711250782,0.5000839829444885,mot,0.2541178921237588,0.727051854133606,mot,0.2695507761090994,0.7187834167852998
10,114474,for,0.6676079072058201,0.32190882693976164,mot,0.4316742653027177,0.5602393681183457,for,0.5440254043787718,0.44178562983870506,for,0.5666810153052211,0.4225104912184179,for,0.5266657862812281,0.4628619593568146,for,0.5880180578678846,0.4014919241890311,for,0.5401521399617195,0.44659113604575396,mot,0.5020940341055393,0.48740319162607193,mot,0.2835133224725723,0.7020587678998709
11,114481,mot,0.4789590174332261,0.512866796925664,mot,0.27683725859969854,0.7167693953961134,mot,0.3760336246341467,0.6127038626000285,mot,0.3361853323876858,0.6550672175362706,mot,0.4989135144278407,0.49306061398237944,mot,0.3131160009652376,0.6769724376499653,mot,0.3624709569849074,0.6281232014298439,mot,0.29523402359336615,0.6960230125114322,mot,0.25275992043316364,0.7380197905004025
12,114482,for,0.7505519175902009,0.2411371087655425,mot,0.45569318532943726,0.5357959428802133,for,0.6407025288790464,0.34822722617536783,for,0.6283421330153942,0.361738383769989,for,0.772643078584224,0.21874010004103184,for,0.6153010297566652,0.3731130473315716,for,0.689048339612782,0.30076517071574926,for,0.5514168879017234,0.43846513144671917,mot,0.23520538676530123,0.7569196401163936
13,114483,for,0.6792095508426428,0.31248373445123434,mot,0.3833470959216356,0.6094872388057411,for,0.5857350751757622,0.40324715059250593,for,0.6041847430169582,0.38696237094700336,for,0.6671624202281237,0.3245882438495755,for,0.6497524818405509,0.34023900888860226,for,0.5461225979961455,0.4414349514991045,mot,0.4211779870092869,0.5696778455749154,mot,0.200670107267797,0.7899305350147188
14,114613,for,0.8173061441630125,0.176175095140934,mot,0.5212815925478935,0.47197048692032695,for,0.7603621557354927,0.2313669533468783,for,0.7022469695657492,0.2895594611763954,for,0.8046962805092335,0.18821035884320736,for,0.6552492547780275,0.33396302349865437,for,0.7459709141403437,0.24578046426177025,for,0.6782049722969532,0.31382773257791996,for,0.6408586837351322,0.35077898809686303
