,id,Gemma2-instruct_vote,Gemma2-instruct_for_prob,Gemma2-instruct_against_prob
0,1143124,for,0.9967546928673983,0.000556250917725265
1,1143313,for,0.9979858937149402,0.000373574293917045
2,1143416,for,0.9978566106874496,0.0005812863237224519
3,1143517,for,0.9980430377472658,0.00022365203767549247
4,1143522,for,0.9979245797439944,0.0003212676092516631
5,1143618,for,0.9967874901776668,0.00031001606839708984
6,1143719,for,0.9989368537790142,0.0
7,1143820,for,0.9902190119028091,0.0047703111777082086
8,1143921,for,0.4694124311208725,0.46602217853069305
9,114465,for,0.9942359030246735,0.0025626426795497537
10,114474,for,0.9865710884332657,0.010627084644511342
11,114481,for,0.9971824623644352,0.0005119874840602279
12,114482,for,0.9963711187883746,0.0007146658026613295
13,114483,for,0.998039010737557,0.0
14,114613,for,0.9981315780605655,0.0
15,114622,for,0.9971065644640476,0.0004293355450499803
16,114631,for,0.893749488517642,0.1021436769515276
17,114640,for,0.9988256290962454,0.0
18,114722,for,0.9982908344827592,0.0
19,114733,for,0.9977417323680129,0.00016587578284088522
20,114741,for,0.9990512202493846,0.0
21,114750,for,0.9988751101191156,0.0
22,114805,for,0.9934322312474251,0.0035628104815259576
23,114806,for,0.9981013499636902,0.00023605633759871125
24,114807,for,0.9990541611041408,0.0
25,114808,for,0.9975435474188998,0.0005124955205246806
26,114812,for,0.9970916988677345,0.0007931920699775219
27,114813,mot,0.06964111421257257,0.9204485043883324
28,114814,for,0.9962505057337694,0.0003469809889793396
29,114821,for,0.998638262739405,0.0
30,114848,for,0.9940257949056104,0.0014908770099282265
31,114849,mot,0.08779404312372208,0.8785095512866974
32,114854,for,0.9979139594943263,0.00030143334879539907
33,114863,for,0.9984535993426107,0.0
34,114865,for,0.9863207936286926,0.007009808206930757
35,114866,for,0.9980101117980666,0.00029488105792552233
36,114867,for,0.994566618668614,0.0008314127335324883
37,114872,for,0.9767957404255867,0.009729006444104016
38,114881,for,0.9966585804650094,0.00037570198765024543
39,1148910,for,0.9983576395607088,0.00020178126578684896
40,114900,for,0.994925556879025,0.0010059558553621173
41,114914,for,0.991397782578133,0.001868263236247003
42,114921,for,0.9990223919448908,0.0
43,114922,for,0.9989991128968541,0.0
44,114933,for,0.9980688122159336,0.00025084574008360505
45,114970,for,0.9949922568921465,0.0016356264241039753
46,114983,for,0.9971901595417876,0.0005904886638745666
47,114994,for,0.9989581556292251,0.0
48,115001,for,0.9505305513739586,0.03841922013089061
49,115002,for,0.9898035824298859,0.00479785306379199
50,115015,for,0.9968294966965914,0.00035228836350142956
51,115020,for,0.9972897116385866,0.0005023769335821271
52,115030,for,0.9987093876698054,0.0001344122865702957
53,115031,for,0.9989212024083827,0.0
54,115032,for,0.9991912533878349,0.0
55,115033,for,0.9988964755902998,0.0
56,115034,for,0.9985523735522293,0.0
57,115035,for,0.9960515796556138,0.00025065639056265354
58,1150513,mot,0.12806924618780613,0.8538985997438431
59,1150514,mot,0.00832130666822195,0.9825478047132492
60,1150612,for,0.9970784320612438,0.0004450497217476368
61,1150710,for,0.9516199827194214,0.0339029454626143
62,115087,for,0.9989823497598991,0.0
63,115091,for,0.9979726654128172,0.0002683921775314957
64,115092,for,0.9960366961313412,0.0008835174376145005
65,115093,for,0.9988608968560584,0.0
66,115094,for,0.9515615850687027,0.03345143608748913
67,115095,for,0.9976184658298735,0.0002784772077575326
68,115096,for,0.998849971780146,0.0
69,115098,for,0.9989817462046631,0.0
70,115099,for,0.9989130814210512,0.0
71,1151015,mot,0.004587361589074135,0.9876966178417206
72,1151111,for,0.9758875072002411,0.019181271083652973
73,115120,for,0.9890493452548981,0.003307160339318216
74,115130,for,0.6819141507148743,0.29922420531511307
75,115140,mot,0.4056198373436928,0.5789940506219864
76,115184,for,0.9772472381591797,0.012742799241095781
77,115195,for,0.8985622674226761,0.08621684182435274
78,115203,mot,0.052430497482419014,0.9343521296977997
79,115216,for,0.9922180660068989,0.0036272910656407475
80,115217,for,0.9954889863729477,0.0013145148986950517
81,115221,for,0.9882280826568604,0.006441512028686702
82,115232,for,0.9242813289165497,0.05602745432406664
83,115240,for,0.9931009113788605,0.0018990496173501015
84,115430,for,0.9950685464136768,0.001043797703459859
85,115392,for,0.9980459078797139,0.0
86,115400,for,0.9981676899769809,0.0
87,115420,for,0.9974266739300219,0.00029867366538383067
88,115446,for,0.9972251771541778,0.0003131720586679876
89,115455,for,0.9936802610754967,0.0030808723822701722
90,115464,for,0.8908704370260239,0.07209128141403198
91,115473,for,0.9864758849143982,0.008196518407203257
92,115482,for,0.9880864135921001,0.005697212181985378
93,115491,for,0.9406582117080688,0.030195048078894615
94,115520,for,0.9975945068872534,0.00036042279680259526
95,115532,for,0.9987384308187757,0.0
96,115550,for,0.9985588131821714,0.0
97,1156824,for,0.9808808490633965,0.011878465069457889
98,1156914,for,0.9962553245713934,0.000826522649731487
99,1156918,for,0.8801246583461761,0.08186183404177427
100,1156919,for,0.9752203226089478,0.014190939487889409
101,1156922,for,0.9950386227865238,0.0012888067867606878
102,1157020,for,0.7924667000770569,0.19518180564045906
103,1157021,for,0.9934823911753483,0.0014245138736441731
104,1157115,for,0.9931161367567256,0.0020558652468025684
105,1157216,for,0.9980798278993461,0.0
106,1157217,for,0.9965549750486389,0.0004975817282684147
107,1157427,for,0.573044590651989,0.3949076980352402
108,1157610,for,0.9922471687896177,0.0029450447764247656
109,1157711,for,0.9948467769427225,0.0011965087614953518
110,115796,mot,0.006389845162630081,0.9867920204997063
111,115797,mot,0.17750521190464497,0.8037338256835938
112,115803,for,0.997769552108366,0.0
113,115818,mot,0.01565801608376205,0.9723759889602661
114,115822,for,0.9715986251831055,0.014196205418556929
115,115824,for,0.9990385225100908,0.0
116,115825,for,0.8895176500082016,0.08487293589860201
117,1158325,for,0.9985353796801064,0.0
118,115850,for,0.9943331741669681,0.0022216092329472303
119,115860,mot,0.01177054364234209,0.9780769199132919
120,115870,for,0.9977210203651339,0.00043662020470947027
121,115940,for,0.9985866921197157,0.0
122,115950,for,0.9989930372103117,0.0
123,115960,for,0.9977804366208147,0.0
124,115961,for,0.999258645781083,0.0
125,116033,for,0.997807159088552,0.00028259525424800813
126,116034,for,0.9983492124592885,0.0
127,116035,for,0.9888965487480164,0.0066243859473615885
128,116036,for,0.9980728699010797,0.00025156550691463053
129,116042,for,0.9980657558189705,0.00019457160669844598
130,116050,for,0.9948554891452659,0.0011872164905071259
131,116061,for,0.9970126200350933,0.000594181998167187
132,116072,for,0.9988264146086294,0.0
133,116073,for,0.8334301263093948,0.15589898452162743
134,116081,for,0.9911181032657623,0.002734141075052321
135,116090,for,0.9980533473426476,0.0
