,id,Llama3-instruct_vote,Llama3-instruct_for_prob,Llama3-instruct_against_prob
0,1143124,for,0.8238971792161465,0.16499409079551697
1,1143313,for,0.8519163280725479,0.13900279346853495
2,1143416,for,0.8321109060198069,0.15727099683135748
3,1143517,for,0.9150035418570042,0.07776744058355689
4,1143522,for,0.7339354380965233,0.25153414253145456
5,1143618,for,0.9331708066165447,0.056858365423977375
6,1143719,for,0.9211068116128445,0.07008885871618986
7,1143820,mot,0.58138707280159,0.3905171286314726
8,1143921,mot,0.022380229085683823,0.8848645091056824
9,114465,for,0.7431898564100266,0.23999134451150894
10,114474,for,0.8596243672072887,0.13192794285714626
11,114481,for,0.7741560563445091,0.21343809738755226
12,114482,for,0.843260133638978,0.14707746263593435
13,114483,for,0.7707726825028658,0.2165876366198063
14,114613,for,0.6323651671409607,0.35146473068743944
15,114622,for,0.6336114928126335,0.33934504725039005
16,114631,for,0.6949185617268085,0.2942792661488056
17,114640,for,0.9741533473134041,0.014069636352360249
18,114722,mot,0.33037807792425156,0.6003682166337967
19,114733,for,0.6491147987544537,0.33217020332813263
20,114741,for,0.9450114611536264,0.04559211619198322
21,114750,for,0.9794020988047123,0.009113829582929611
22,114805,mot,0.4331476725637913,0.5379824191331863
23,114806,for,0.961772084236145,0.031075355829671025
24,114807,for,0.9308984018862247,0.061702071223407984
25,114808,for,0.8964393213391304,0.09488569479435682
26,114812,for,0.8024388998746872,0.1845225552096963
27,114813,for,0.805628938600421,0.1843752507120371
28,114814,for,0.8379323333501816,0.14884571731090546
29,114821,for,0.8588615134358406,0.13000110536813736
30,114848,for,0.8186345919966698,0.17029284313321114
31,114849,mot,0.3806966245174408,0.5588600430637598
32,114854,for,0.820405475795269,0.16731577459722757
33,114863,for,0.8542451187968254,0.13330992823466659
34,114865,for,0.7964759804308414,0.18979695439338684
35,114866,for,0.9410659791901708,0.055196464993059635
36,114867,for,0.9270826503634453,0.06252106465399265
37,114872,for,0.6344978511333466,0.3324505593627691
38,114881,for,0.8948341272771358,0.09595798049122095
39,1148910,for,0.8906149826943874,0.10208020731806755
40,114900,for,0.8619899731129408,0.127891450189054
41,114914,for,0.749297708272934,0.2336483858525753
42,114921,for,0.9211973175406456,0.071766197681427
43,114922,for,0.9672495573759079,0.02567041921429336
44,114933,for,0.8629604801535606,0.12851401045918465
45,114970,for,0.9314811136573553,0.06438617408275604
46,114983,for,0.6630298271775246,0.3051004335284233
47,114994,for,0.9844404514878988,0.010662148473784328
48,115001,for,0.8215879052877426,0.16861275490373373
49,115002,for,0.9326868541538715,0.06145202508196235
50,115015,for,0.9169312715530396,0.0765207321383059
51,115020,for,0.8650042321532965,0.12593507021665573
52,115030,mot,0.4934941530227661,0.4439387917518616
53,115031,for,0.847276583313942,0.1376387868076563
54,115032,for,0.9617419820278883,0.03202962316572666
55,115033,for,0.926941616460681,0.06545040151104331
56,115034,for,0.9796220399439335,0.016681512584909797
57,115035,for,0.8504563197493553,0.1360226273536682
58,1150513,mot,0.5386185720562935,0.42280252277851105
59,1150514,mot,0.22590632364153862,0.6803635284304619
60,1150612,for,0.9605293273925781,0.03342019487172365
61,1150710,mot,0.3473110534250736,0.5805277824401855
62,115087,for,0.9588560946285725,0.034246662398800254
63,115091,for,0.9443415328860283,0.04830044717527926
64,115092,for,0.841106504201889,0.1463352171704173
65,115093,for,0.9255533628165722,0.06540697393938899
66,115094,for,0.6895819455385208,0.28149337135255337
67,115095,for,0.9564672820270061,0.03776292549446225
68,115096,for,0.9252115041017532,0.06436054781079292
69,115098,for,0.979031827300787,0.015380589058622718
70,115099,for,0.9012791682034731,0.09025637060403824
71,1151015,mot,0.499792966991663,0.4655375871807337
72,1151111,for,0.869114339351654,0.12242723349481821
73,115120,for,0.9124004896730185,0.07968791481107473
74,115130,mot,0.5955218523740768,0.3761965949088335
75,115140,for,0.6665962487459183,0.3099975045770407
76,115184,mot,0.20601432770490646,0.7287410125136375
77,115195,for,0.658988805487752,0.32680706679821014
78,115203,mot,0.6274041160941124,0.35257333889603615
79,115216,for,0.7527393475174904,0.22901256196200848
