,id,Falcon3-instruct_left_vote,Falcon3-instruct_left_for_prob,Falcon3-instruct_left_against_prob,Falcon3-instruct_right_vote,Falcon3-instruct_right_for_prob,Falcon3-instruct_right_against_prob,Falcon3-instruct_center_vote,Falcon3-instruct_center_for_prob,Falcon3-instruct_center_against_prob
0,1143124,for,0.9920257652411237,0.006454946007579565,mot,0.02639136218931526,0.9713532514870167,for,0.9610372813185677,0.0356832817196846
1,1143313,for,0.9619622664758936,0.0342382132075727,for,0.7276114956475794,0.2634427926968783,for,0.914413133636117,0.07959517417475581
2,1143416,for,0.9815016256179661,0.015095716342329979,mot,0.07669293880462646,0.9166019964031875,for,0.9555755374021828,0.03945683315396309
3,1143517,for,0.9928643370512873,0.00521788839250803,for,0.5493281143717468,0.44150622049346566,for,0.98716707713902,0.010256356559693813
4,1143522,for,0.9942355238017626,0.004008775111287832,mot,0.2180628541391343,0.7731176996603608,for,0.9841072058770806,0.012961518950760365
5,1143618,for,0.9968695413554087,0.0016842845361679792,mot,0.3107436140999198,0.6834513172507286,for,0.9917667442932725,0.006346183829009533
6,1143719,for,0.9811331222299486,0.016341997194103897,for,0.9327938151545823,0.06390956894028932,for,0.9725624429993331,0.024087807163596153
7,1143820,for,0.9388918385375291,0.05685997602995485,for,0.8532841526903212,0.1404840499162674,for,0.8628320661373436,0.1311998296296224
8,1143921,for,0.9536519934190437,0.04327867750544101,for,0.9341126077342778,0.0622338242828846,for,0.8703693011775613,0.12420824135188013
9,114465,for,0.9856306428555399,0.010696245357394218,for,0.8508508000522852,0.13998717069625854,for,0.9710416760062799,0.023956282064318657
10,114474,for,0.9813578957691789,0.015461154282093048,for,0.9591720551834442,0.037260379642248154,for,0.9467221915256232,0.04817965626716614
11,114481,for,0.985328238166403,0.012385133653879166,mot,0.14920533052645624,0.8432809904916212,for,0.965713580371812,0.03077227622270584
12,114482,for,0.9897483607055619,0.007804753724485636,mot,0.37326711253263056,0.616925239097327,for,0.982565407291986,0.014374727383255959
13,114483,for,0.989532248582691,0.00851406343281269,for,0.9846770226140507,0.013529617339372635,for,0.9720143901649863,0.024677149951457977
14,114613,for,0.9906850573606789,0.0072968509048223495,mot,0.4247890852857381,0.566045290324837,for,0.972839179681614,0.023769669234752655
15,114622,for,0.9955966128618456,0.002608825685456395,mot,0.2079824487445876,0.7835346488282084,for,0.980622413335368,0.016400877386331558
