,id,NorskGPT_vote,NorskGPT_for_prob,NorskGPT_against_prob
0,1143124,for,0.476986538618803,0.3384223058819771
1,1143313,for,0.526998296380043,0.3235887624323368
2,1143416,mot,0.3772313231602311,0.4735429137945175
3,1143517,for,0.6273371949791908,0.233150877058506
4,1143522,for,0.575340018607676,0.2391165755689144
5,1143618,for,0.3129944801330566,0.3398323245346546
6,1143719,for,0.6907044183462858,0.1892596147954464
7,1143820,for,0.4653440527617931,0.4084235206246376
8,1143921,mot,0.2171109914779663,0.4896302670240402
9,114465,for,0.4277224540710449,0.3566438965499401
10,114474,for,0.5717102847993374,0.3094592615962028
11,114481,for,0.4752842485904693,0.3268532939255237
12,114482,for,0.6081603169441223,0.2374364286661148
13,114483,for,0.4520099982619285,0.3123209774494171
14,114613,for,0.3588374853134155,0.3531746491789818
15,114622,mot,0.3283749483525753,0.4531514309346676
16,114631,for,0.5201738253235817,0.3283870257437229
17,114640,for,0.5111041590571404,0.2871105968952179
18,114722,mot,0.1602869629859924,0.5252200663089752
19,114733,mot,0.2322794198989868,0.4960398189723491
20,114741,for,0.4100704193115234,0.3261051103472709
21,114750,for,0.523267637938261,0.2175117209553718
22,114805,for,0.5237348675727844,0.3080721274018287
23,114806,for,0.4750257758423686,0.3521762266755104
24,114807,for,0.5323112867772579,0.2698806338012218
25,114808,for,0.4886082205921411,0.3578698188066482
26,114812,for,0.4916478525847196,0.3761025108397007
27,114813,mot,0.3191798757761717,0.5149327516555786
28,114814,mot,0.276736319065094,0.4607972800731659
29,114821,for,0.4237317442893982,0.1633631438016891
30,114848,mot,0.3628490269184112,0.4589882902801037
31,114849,mot,0.2460678517818451,0.4845049530267715
32,114854,for,0.3423869609832763,0.3682900294661522
33,114863,for,0.5430526044219732,0.233983363956213
34,114865,for,0.3703894317150116,0.3879132084548473
35,114866,for,0.453292042016983,0.3040483146905899
36,114867,for,0.4334353506565094,0.2884315773844719
37,114872,mot,0.2408874779939651,0.4985153451561928
38,114881,for,0.4681098461151123,0.3454187288880348
39,1148910,for,0.5126100778579712,0.2926401160657406
40,114900,for,0.4333190619945526,0.3731769062578678
41,114914,for,0.3037609457969665,0.2598205208778381
42,114921,for,0.570001071318984,0.2662387974560261
43,114922,for,0.4087440744042396,0.3663124814629555
44,114933,for,0.3818630278110504,0.3301079273223877
45,114970,for,0.4164743423461914,0.3665649779140949
46,114983,for,0.3878312706947326,0.4070562645792961
47,114994,for,0.7286439584568143,0.1664614491164684
48,115001,for,0.3809290444478392,0.4053767472505569
49,115002,for,0.4531800989061594,0.3768401741981506
50,115015,for,0.4585664272308349,0.327681940048933
51,115020,for,0.3755389153957367,0.4063236452639103
52,115030,mot,0.2354199588298797,0.4333945587277412
53,115031,for,0.4055115282535553,0.3229067884385586
54,115032,for,0.5037355981767178,0.3034468255937099
55,115033,for,0.6901405807584524,0.1375931575894355
56,115034,for,0.4863767400383949,0.2709094285964966
57,115035,for,0.5052640438079834,0.2427800260484218
58,1150513,mot,0.2345258891582489,0.5023855715990067
59,1150514,mot,0.2579428469762206,0.5170116797089577
60,1150612,for,0.5619187336415052,0.3171737268567085
61,1150710,for,0.3801153004169464,0.3298712335526943
62,115087,for,0.6683683395385742,0.1625928506255149
63,115091,for,0.5170934703201056,0.3049286641180515
64,115092,for,0.4216412175446749,0.3587087094783783
65,115093,for,0.6430089473724365,0.1862029805779457
66,115094,mot,0.2764284312725067,0.3907770216464996
67,115095,for,0.4642334282398224,0.3227904886007309
68,115096,for,0.4498974345624447,0.3548599742352962
69,115098,for,0.6636123470962048,0.1850422471761703
70,115099,for,0.4872721349820494,0.3072883225977421
71,1151015,mot,0.1877233237028122,0.5612007267773151
72,1151111,mot,0.2570649683475494,0.576761994510889
73,115120,for,0.5490561742335558,0.2742884941399097
74,115130,mot,0.2976073920726776,0.47457151487469673
75,115140,mot,0.2718775290995836,0.4718757383525371
76,115184,mot,0.3233835529536009,0.4649269394576549
77,115195,mot,0.3155132234096527,0.4718341641128063
78,115203,mot,0.362385812215507,0.4669545218348503
79,115216,for,0.4360495209693908,0.3679410330951214
80,115217,for,0.4560723472386598,0.3815377503633499
81,115221,for,0.4375772178173065,0.3040849454700947
82,115232,mot,0.3867664514109492,0.4478788636624813
83,115240,for,0.5161127354949713,0.295009471476078
84,115430,for,0.5654828120023012,0.3140875436365604
85,115392,for,0.5584858823567629,0.3119656257331371
86,115400,for,0.5581092163920403,0.2786953188478946
87,115420,for,0.4470438957214355,0.3525614887475967
88,115446,for,0.5115593168884516,0.2569668553769588
89,115455,mot,0.3127575796097517,0.5114271827042103
90,115464,mot,0.2937410473823547,0.3684925101697445
91,115473,for,0.353660374879837,0.3991462811827659
92,115482,for,0.5801460854709148,0.2682830058038234
93,115491,for,0.3360868990421295,0.3279981464147568
94,115520,for,0.3925495147705078,0.3761279731988907
95,115532,for,0.5511669712141156,0.2949238680303097
96,115550,for,0.5439881682395935,0.2589919939637184
97,1156824,for,0.3687899708747864,0.4133761897683143
98,1156914,for,0.4183291494846344,0.3258952125906944
99,1156918,mot,0.2670003771781921,0.4574089162051677
100,1156919,mot,0.259070485830307,0.3555448837578296
101,1156922,for,0.3827812001109123,0.3194534890353679
102,1157020,mot,0.2218381911516189,0.4415281750261783
103,1157021,for,0.4422425907105207,0.3918945789337158
104,1157115,for,0.4043582677841186,0.3228502348065376
105,1157216,for,0.4436234533786773,0.2794477939605713
106,1157217,for,0.3889002799987793,0.3387771695852279
107,1157427,for,0.435886250808835,0.3849080018699169
108,1157610,for,0.4924990832805633,0.3320549726486206
109,1157711,for,0.4376352429389953,0.3361941501498222
110,115796,mot,0.3622406078502536,0.4621414989233017
111,115797,mot,0.2269728928804397,0.5897138118743896
112,115803,mot,0.2945047914981842,0.5165370181202888
113,115818,mot,0.1868960261344909,0.5127221457660198
114,115822,for,0.375245600938797,0.3338035531342029
115,115824,mot,0.3077954053878784,0.3857052661478519
116,115825,mot,0.3271422088146209,0.4567731097340584
117,1158325,for,0.5555150154978037,0.2480555735528469
118,115850,for,0.4373250594362616,0.3799725696444511
119,115860,mot,0.2571168839931488,0.5392509363591671
120,115870,for,0.4893653122708201,0.3714251779019832
121,115940,for,0.4893104638904333,0.3619669340550899
122,115950,for,0.5860929768532515,0.229181308299303
123,115960,for,0.5407495498657227,0.2832394987344742
124,115961,for,0.507086455821991,0.2639342583715915
125,116033,for,0.5623921547085047,0.2827972881495952
126,116034,for,0.5410532560199499,0.2889541909098625
127,116035,for,0.38249431271106,0.4273948445916176
128,116036,for,0.4363777339458465,0.3073372691869735
129,116042,for,0.4643908273428678,0.3608240745961666
130,116050,for,0.4247448770329356,0.3835806101560592
131,116061,for,0.5179229378700256,0.2648856155574322
