,id,NorskGPT_A_vote,NorskGPT_A_for_prob,NorskGPT_A_against_prob,NorskGPT_H_vote,NorskGPT_H_for_prob,NorskGPT_H_against_prob,NorskGPT_Sp_vote,NorskGPT_Sp_for_prob,NorskGPT_Sp_against_prob,NorskGPT_FrP_vote,NorskGPT_FrP_for_prob,NorskGPT_FrP_against_prob,NorskGPT_KrF_vote,NorskGPT_KrF_for_prob,NorskGPT_KrF_against_prob,NorskGPT_MDG_vote,NorskGPT_MDG_for_prob,NorskGPT_MDG_against_prob,NorskGPT_SV_vote,NorskGPT_SV_for_prob,NorskGPT_SV_against_prob,NorskGPT_V_vote,NorskGPT_V_for_prob,NorskGPT_V_against_prob,NorskGPT_R_vote,NorskGPT_R_for_prob,NorskGPT_R_against_prob
0,1143124,for,0.6406195107847452,0.2423112317919731,mot,0.3152731712907552,0.5457044653594494,for,0.6006114147603512,0.2689672000706196,for,0.5002617072314024,0.3736926913261413,for,0.5971261691302061,0.2906490862369537,for,0.6305256076157093,0.2430450990796089,for,0.7206435687839985,0.1637564115226268,for,0.5039910301566124,0.3798801489174366,for,0.4844975024461746,0.3935318887233734
1,1143313,for,0.5785390976816416,0.2549743875861168,mot,0.3579165339469909,0.4657634608447552,for,0.57074417732656,0.2492930628359317,for,0.5334154777228832,0.315551795065403,for,0.6322359498590231,0.2359356954693794,for,0.5766841098666191,0.2523293420672416,for,0.7026296555995941,0.1502500474452972,for,0.4889349043369293,0.3543094284832477,for,0.4470520913600921,0.37648506462574
2,1143416,mot,0.3824766874313354,0.4942472800612449,mot,0.2501247245818376,0.6185473389923573,for,0.4311677627265453,0.4381114840507507,mot,0.3624261785298586,0.4949640110135078,for,0.4952585287392139,0.3920084461569786,for,0.4080547578632831,0.4549688473343849,for,0.4515030682086944,0.3909921124577522,mot,0.3509072680026293,0.5330550037324429,mot,0.2704932009801268,0.6081697344779968
3,1143517,for,0.654148368164897,0.2156022079288959,for,0.4486402869224548,0.4216433055698871,for,0.6923008412122726,0.1751298680901527,for,0.6465807743370533,0.2324654385447502,for,0.6953110694885254,0.197471871972084,for,0.6180270984768867,0.2405260801315307,for,0.6955860741436481,0.1586574390530586,for,0.554063762538135,0.3229200057685375,for,0.482857022434473,0.3832619749009609
4,1143522,for,0.6332571636885405,0.2078863345086574,for,0.388712078332901,0.4253524802625179,for,0.6112839560955763,0.2121281772851944,for,0.5650826245546341,0.2818781957030296,for,0.6554616838693619,0.2134203910827636,for,0.6027989573776722,0.2219064310193061,for,0.683882400393486,0.1445734538137912,for,0.5462812781333923,0.2909398563206196,for,0.5011868197470903,0.336440060287714
5,1143618,for,0.4039154704660177,0.3522390760481357,mot,0.2407310456037521,0.4749662317335605,for,0.3921990916132927,0.3517818301916122,for,0.3861643131822347,0.3860890790820122,for,0.4426902253180742,0.351830892264843,for,0.4086876269429922,0.3426493853330612,for,0.4105176627635956,0.3125561773777008,mot,0.3296036422252655,0.4130088724195957,mot,0.2630657255649566,0.4490033350884914
6,1143719,for,0.7109807692468166,0.172877874225378,for,0.5015817973762751,0.3710043244063854,for,0.7230696622282267,0.1541897244751453,for,0.6896285954862833,0.2023010402917862,for,0.7620483953505754,0.1473466791212558,for,0.736521128565073,0.1466907113790512,for,0.7567867077887058,0.1323378011584282,for,0.615860104560852,0.2613045834004879,for,0.5499064717441797,0.3286158330738544
7,1143820,for,0.4886617651209235,0.3858081251382828,mot,0.2776350677013397,0.5787419900298119,for,0.4852472115308046,0.3764726147055626,for,0.4312237584963441,0.4582077860832214,for,0.5167201533913612,0.3787193112075329,for,0.4992234893143177,0.3730428889393806,for,0.5835630912333727,0.2857523933053016,for,0.4180451929569244,0.4518955610692501,mot,0.3741138577461242,0.492915216833353
8,1143921,mot,0.3300326894968748,0.4996790923178196,mot,0.1924791159108281,0.5997139103710651,mot,0.3671134058386087,0.445411317050457,for,0.4013627730309963,0.3974253684282303,for,0.4622464068233967,0.3693338707089424,mot,0.0138816833496093,0.8053137063980103,mot,0.2075661458075046,0.5896444097161293,mot,0.2270877063274383,0.5755948610603809,mot,0.1200246550142765,0.7262379452586174
9,114465,for,0.4823151547461748,0.3656256310641765,mot,0.3183181583881378,0.5087401010096073,for,0.4858323633670807,0.3573436290025711,for,0.4523000605404377,0.4033617526292801,for,0.5449064522981644,0.324814859777689,for,0.5280789360404015,0.3200098946690559,for,0.5784744098782539,0.2702113837003708,mot,0.4092078059911728,0.4502353221178055,mot,0.3643334470689296,0.4811775460839271
