,id,NorskGPT_left_vote,NorskGPT_left_for_prob,NorskGPT_left_against_prob,NorskGPT_right_vote,NorskGPT_right_for_prob,NorskGPT_right_against_prob,NorskGPT_center_vote,NorskGPT_center_for_prob,NorskGPT_center_against_prob
0,1143124,for,0.4922952353954315,0.150587223470211,mot,0.2944683209061622,0.3792960345745086,for,0.4558843970298767,0.2069010436534881
1,1143313,for,0.4611984342336654,0.1770928874611854,for,0.3326959758996963,0.2674893140792846,for,0.4524446353316307,0.190586969256401
2,1143416,for,0.3617546856403351,0.3257610648870468,mot,0.2843456715345382,0.3694958537817001,for,0.3871036693453789,0.3096076846122741
3,1143517,for,0.4827659577131271,0.218945525586605,for,0.3700557351112366,0.2894988730549812,for,0.5027100890874863,0.1947458684444427
4,1143522,for,0.4109226912260055,0.1061144173145294,mot,0.2803825885057449,0.2872148528695106,for,0.4015509933233261,0.1209782212972641
5,1143618,for,0.3627304285764694,0.186514750123024,for,0.300457626581192,0.2428735643625259,for,0.3781001418828964,0.1901449337601661
6,1143719,for,0.5020800679922104,0.146262988448143,for,0.3873666897416115,0.2378960624337196,for,0.4935148805379867,0.091603510081768
7,1143820,for,0.4808668121695518,0.2471966966986656,mot,0.2982214391231537,0.4331181347370147,for,0.442376933991909,0.2949929982423782
8,1143921,for,0.2841850817203522,0.273943543434143,for,0.3757127895951271,0.2127233892679214,for,0.3954909741878509,0.2243138626217842
9,114465,for,0.4590703397989273,0.1930442526936531,for,0.3578580617904663,0.2530844509601593,for,0.451166957616806,0.1933505982160568
10,114474,for,0.5754419900476933,0.1830604076385498,for,0.4195470064878464,0.2390986904501915,for,0.5565634816884995,0.1938215568661689
11,114481,for,0.4204457327723503,0.1853892132639885,for,0.3412151485681534,0.2574286386370659,for,0.4353533685207367,0.1921107620000839
12,114482,for,0.5373722314834595,0.1325899325311184,for,0.3634912893176079,0.3079882860183716,for,0.520623967051506,0.1431192979216575
13,114483,for,0.3661951571702957,0.1709359735250473,for,0.2897805199027061,0.2305657193064689,for,0.3831300660967827,0.1000382155179977
14,114613,for,0.3340587019920349,0.0976984277367591,mot,0.2347275093197822,0.2979626357555389,for,0.3214456439018249,0.1221584975719451
15,114622,for,0.4556397274136543,0.1886248812079429,mot,0.2731756046414375,0.3534472584724426,for,0.3994607701897621,0.2784154042601585
16,114631,for,0.4731598198413849,0.2348925620317459,for,0.3489641100168228,0.3222765028476715,for,0.4651854932308197,0.2616819962859154
17,114640,for,0.4856082499027252,0.1361551098525524,for,0.3652271181344986,0.2484317570924759,for,0.4862672835588455,0.1513969711959362
18,114722,for,0.3225910551846027,0.3118710517883301,mot,0.2077789828181266,0.3786036223173141,for,0.2984313368797302,0.3605936765670776
19,114733,for,0.353722408413887,0.3169514983892441,mot,0.2181151211261749,0.4036406278610229,for,0.3207689821720123,0.3704151064157486
20,114741,for,0.4242855682969093,0.0987790822982788,for,0.3341221883893013,0.2020033001899719,for,0.448526531457901,0.1035596057772636
21,114750,for,0.5126046985387802,0.0,for,0.4968289956450462,0.0603401735424995,for,0.5434927642345428,0.0
22,114805,for,0.508310467004776,0.1915867403149604,for,0.403163768351078,0.2727373391389847,for,0.5225964859127998,0.1858927980065345
23,114806,for,0.4893752634525299,0.218300923705101,for,0.3412793576717376,0.3362952172756195,for,0.4663139134645462,0.2439949586987495
24,114807,for,0.4265239685773849,0.0921035930514335,mot,0.2892604023218155,0.2705177888274193,for,0.4912034571170807,0.0959896892309188
25,114808,for,0.3948510885238647,0.2484684959053993,mot,0.309308260679245,0.3103255704045295,for,0.3982584178447723,0.2639783844351768
26,114812,for,0.4368892759084701,0.2284091338515281,for,0.320397712290287,0.3310762494802475,for,0.4397268891334533,0.2259263023734092
